Year,State/UT,Crime Rate / Lakh
2022,Andhra Pradesh,299
2022,Arunachal Pradesh,148.8
2022,Assam,167.1
2022,Bihar,168.1
2022,Chhattisgarh,246.5
2022,Goa,172.8
2022,Gujarat,189.8
2022,Haryana,418.6
2022,Himachal Pradesh,177.8
2022,Jharkhand,124.5
2022,Karnataka,192.1
2022,Kerala,661
2022,Madhya Pradesh,347.6
2022,Maharashtra,297.5
2022,Manipur,94.6
2022,Meghalaya,87.6
2022,Mizoram,291.6
2022,Nagaland,45.4
2022,Odisha,311.2
2022,Punjab,142.9
2022,Rajasthan,293.5
2022,Sikkim,80.3
2022,Tamil Nadu,252.8
2022,Telangana,400.1
2022,Tripura,88.7
2022,Uttar Pradesh,171.6
2022,Uttarakhand,146.8
2022,West Bengal,158.5
2022,A&N Islands,114.4
2022,Chandigarh,240.5
2022,"D&N Haveli and
Daman & Diu",98.6
2022,Delhi,1424.1
2022,Jammu & Kashmir,191.4
2022,Ladakh,146.8
2022,Lakshadweep,92.8
2022,Puducherry,199.7
2021,Andhra Pradesh,339.9
2021,Arunachal Pradesh,170.9
2021,Assam,341
2021,Bihar,150.4
2021,Chhattisgarh,238.2
2021,Goa,134.5
2021,Gujarat,389.7
2021,Haryana,380.8
2021,Himachal Pradesh,176.1
2021,Jharkhand,123.4
2021,Karnataka,172.8
2021,Kerala,401.4
2021,Madhya Pradesh,358.3
2021,Maharashtra,294.3
2021,Manipur,78.3
2021,Meghalaya,81.1
2021,Mizoram,202.4
2021,Nagaland,47
2021,Odisha,272.9
2021,Punjab,152.8
2021,Rajasthan,269.6
2021,Sikkim,78.5
2021,Tamil Nadu,422.1
2021,Telangana,386.9
2021,Tripura,101.3
2021,Uttar Pradesh,154.5
2021,Uttarakhand,137.3
2021,West Bengal,160.2
2021,A&N Islands,96.3
2021,Chandigarh,198.1
2021,"D&N Haveli and
Daman & Diu",44.2
2021,Delhi,1410
2021,Jammu & Kashmir,204.2
2021,Ladakh,174.2
2021,Lakshadweep,130.9
2021,Puducherry,243.1
